INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470869695242, 37347840, 1009, 81.3256938772312, 81.3256938772312);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815788239114, 37347840, 10039, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815805016330, 37347840, 10037, 2.6591794, 2.6591794);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815838570762, 37347840, 10083, 1.530773, 1.530773);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470500596490, 37347840, 1019, 40.3872069653666, 40.3872069653666);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815872125194, 37347840, 10033, 11.442348, 11.442348);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1191987993354, 37347840, 10045, 40.8575502040867, 40.8575502040867);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470517373706, 37347840, 10071, 35.5825946671635, 35.5825946671635);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470483819274, 37347840, 10072, 17.6894952797401, 17.6894952797401);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815939234058, 37347840, 10078, 32.8378690099339, 32.8378690099339);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(872147147530, 37347840, 10048, 26.6572931930577, 26.6572931930577);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470886472458, 37347840, 10049, 55.9868664967314, 55.9868664967314);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1815989565706, 37347840, 10060, 4.5118923, 4.5118923);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816006342922, 37347840, 10086, 30.487364, 30.487364);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(665955162890, 37347840, 10085, 46.4937030862998, 46.4937030862998);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816039897354, 37347840, 10091, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816056674570, 37347840, 1022, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816073451786, 37347840, 10050, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816090229002, 37347840, 10087, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402838084362, 37347840, 1023, 71.8605786703556, 71.72168);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816123783434, 37347840, 10054, 19.064697144828, 19.064697144828);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470534150922, 37347840, 10055, 38.9397498904841, 38.9397498904841);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470618037002, 37347840, 10052, 14.3141652865851, 14.2901216315039);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(614214228746, 37347840, 10053, 40.10083909735, 40.10083909735);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470718700298, 37347840, 10058, 3.6785917, 3.6785917);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(540511918858, 37347840, 10057, 3, 3);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470685145866, 37347840, 1020, 76.9321585982594, 76.9321585982594);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470836140810, 37347840, 10002, 66.7875195304478, 66.7875195304478);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(486472506122, 37347840, 10004, 40.870304, 40.870304);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(471121353482, 37347840, 10008, 75.5960092926275, 75.5960092926275);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470668368650, 37347840, 10009, 88.8366532728177, 88.8366532728177);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(554990656266, 37347840, 10035, 72.7542534146061, 72.7542534146061);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(614197451530, 37347840, 10046, 32.4788846088874, 32.4788846088874);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816341887242, 37347840, 10047, 2.733362, 2.733362);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(471037467402, 37347840, 10026, 72.6270271639678, 72.6270271639678);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(614113565450, 37347840, 10030, 58.0719546647931, 58.0719546647931);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(801783503626, 37347840, 1021, 10.567060017491, 10.567060017491);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(801766726410, 37347840, 10042, 23.8449454495478, 23.8449454495478);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470567705354, 37347840, 1002, 23.3425309345342, 23.3425309345342);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816442550538, 37347840, 10006, 2.8571784, 2.8571784);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816459327754, 37347840, 10019, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816476104970, 37347840, 10022, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816492882186, 37347840, 10023, 31.172361, 31.172361);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470550928138, 37347840, 10020, 25.0255218571113, 25.0255218571113);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816526436618, 37347840, 10021, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470752254730, 37347840, 1003, 58.7919835270848, 58.7919835270848);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470735477514, 37347840, 10003, 68.8546924489969, 68.8546924489969);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816576768266, 37347840, 10001, 6.948092, 6.948092);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816593545482, 37347840, 10024, 58.354946, 58.354946);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816610322698, 37347840, 10025, 54.3464175901571, 54.3464175901571);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470601259786, 37347840, 1000, 18.4601593299554, 18.4601593299554);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(503524735242, 37347840, 10005, 14.941532, 14.941532);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470584482570, 37347840, 10027, 22.5150788967024, 22.5150788967024);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816677431562, 37347840, 10028, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470802586378, 37347840, 1001, 36.8963681916343, 36.8963681916343);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470785809162, 37347840, 10007, 51.1069066032114, 51.1069066032114);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(540545473290, 37347840, 10029, 36.6885495348115, 36.6885495348115);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(470769031946, 37347840, 1007, 80.2102073440212, 80.2102073440212);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816761317642, 37347840, 1004, 9.584898, 9.584898);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816778094858, 37347840, 10062, 15.43313, 15.43313);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816794872074, 37347840, 10063, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816811649290, 37347840, 10061, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(471020690186, 37347840, 1005, 90.5203093185895, 90.5203093185895);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816845203722, 37347840, 1031, 8.34446, 8.34446);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816861980938, 37347840, 1032, 18.190437, 18.190437);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(684846308106, 37347840, 10044, 57.8208061199598, 57.8208061199598);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1816895535370, 37347840, 10051, 1, 1);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(1191971216138, 37347840, 10082, 70.3786340311939, 70.3786340311939);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402687089418, 37347840, 2, 33.5095888784643, 33.5095888784643);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402720643850, 37347840, 100, 40.5836540261011, 40.5836540261011);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402737421066, 37347840, 101, 22.7127456889154, 22.7127456889154);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402703866634, 37347840, 3, 26.6498183833305, 26.6498183833305);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402821307146, 37347840, 106, 24.6711809243894, 24.6711809243894);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402804529930, 37347840, 105, 31.0325462113563, 31.0325462113563);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402670312202, 37347840, 1, 41.2536682015518, 41.2536682015518);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402754198282, 37347840, 102, 39.5949872238969, 39.5949872238969);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402770975498, 37347840, 103, 33.5542500305496, 33.5542500305496);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(402787752714, 37347840, 104, 32.4733531596694, 32.4733531596694);
INSERT OR REPLACE INTO SKILLS(Id, Owner, Number, Value, Minvalue) VALUES(992070687498, 37347840, 1026, 4.37103631418704, 4.37103631418704);
INSERT OR REPLACE INTO AFFINITIES(WurmID, Skill, Number) VALUES(37347840, 10045, 1);
INSERT OR REPLACE INTO AFFINITIES(WurmID, Skill, Number) VALUES(37347840, 10049, 1);
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 2, 'Miner');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 3, 'Lumberjack');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 9, 'Mason');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 23, 'Carpenter');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 24, 'Master Carpenter');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 25, 'Blacksmith');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 35, 'Fine Carpenter');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 39, 'Prospector');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 54, 'Digger');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 57, 'Trollslayer');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 61, 'High Mason');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 76, 'Repairman');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 77, 'Materia Tamer');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 90, 'Handyman');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 104, 'Renowned Blacksmith');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 105, 'Excavator');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 113, 'Renowned Carpenter');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 128, 'Sculptor');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 144, 'Geologist');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 150, 'Shipwright');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 153, 'Stabber');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 154, 'Tim the Toolman');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 168, 'Soldier');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 169, 'Mercenary');
INSERT OR REPLACE INTO TITLES(WurmID, TitleId, TitleName) VALUES(37347840, 353, 'Chainsaw');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 171, 1, '2017-02-10 16:26:51');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 170, 1, '2017-02-10 16:26:51');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 129, 120, '2017-02-10 16:27:20');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 314, 11, '2017-02-10 16:29:26');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 106, 291, '2017-02-10 16:32:51');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 371, 176, '2017-02-10 20:56:38');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 199, 185, '2017-02-10 20:58:19');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 167, 4111, '2017-02-10 21:04:49');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 165, 1, '2017-02-11 05:17:59');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 62, 47, '2017-02-11 05:28:15');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 63, 1, '2017-02-11 05:52:48');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 231, 6, '2017-02-11 05:59:43');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 376, 8, '2017-02-11 05:59:43');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 290, 1, '2017-02-11 06:02:34');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 149, 1, '2017-02-11 06:13:03');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 216, 3, '2017-02-11 07:08:32');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 135, 6, '2017-02-11 07:10:28');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 257, 5, '2017-02-13 05:34:32');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 228, 1, '2017-02-13 05:34:32');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 315, 8, '2017-02-13 05:37:04');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 309, 1, '2017-02-13 05:53:40');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 313, 2, '2017-02-13 06:07:09');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 237, 5, '2017-02-13 06:22:15');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 239, 3, '2017-02-21 03:51:33');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 136, 1, '2017-02-21 03:55:55');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 205, 2928, '2017-02-21 04:12:15');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 206, 755, '2017-02-21 04:12:53');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 219, 45, '2017-02-21 04:14:38');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 200, 1, '2017-02-21 04:26:55');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 123, 28, '2017-02-23 04:12:54');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 301, 3, '2017-02-23 05:07:23');
INSERT OR REPLACE INTO ACHIEVEMENTS(Player, Achievement, Counter, ADate) VALUES(37347840, 375, 2, '2017-02-23 18:16:05');
